t_ms_21, Sx_21, Sx_err_21, t_ms_66, Sx_66, Sx_err_66, t_ms_100, Sx_100, Sx_err_100 
4.000000,-0.027220,0.042904,4.000000,0.046201,0.028569,4.000000,0.233078,0.035649, 
3.790526,-0.050008,0.043532,3.734667,0.004518,0.029207,3.790526,0.294408,0.031879, 
3.581053,0.052567,0.045654,3.469333,0.056208,0.030013,3.581053,0.322275,0.035520, 
3.371579,0.019004,0.043644,3.204000,0.121102,0.029532,3.371579,0.422900,0.029092, 
3.162105,0.108434,0.042657,2.938667,0.119843,0.029774,3.162105,0.501371,0.028071, 
2.952632,0.021455,0.046273,2.673333,0.238602,0.029556,2.952632,0.536350,0.023921, 
2.743158,0.068029,0.046696,2.408000,0.344022,0.026828,2.743158,0.528538,0.030916, 
2.533684,0.280668,0.041542,2.142667,0.407742,0.026264,2.533684,0.617619,0.023850, 
2.324211,0.165594,0.046155,1.877333,0.630006,0.019390,2.324211,0.655397,0.020439, 
2.114737,0.322286,0.038901,1.612000,0.748442,0.013065,2.114737,0.742263,0.015566, 
1.905263,0.473832,0.037522,1.346667,0.827334,0.008630,1.905263,0.784414,0.014342, 
1.695789,0.551195,0.033001,1.081333,0.903566,0.004357,1.695789,0.828721,0.009006, 
1.486316,0.680895,0.026166,0.816000,0.942727,0.002479,1.486316,0.861369,0.007134, 
1.276842,0.752763,0.021909,0.550667,0.963973,0.001853,1.276842,0.900779,0.005378, 
1.067368,0.829129,0.016268,0.285333,0.977687,0.001411,1.067368,0.924332,0.004252, 
0.857895,0.870719,0.016497,0.020000,0.992338,0.000945,0.857895,0.945553,0.003987, 
0.648421,0.924054,0.007143,,,,0.648421,0.957912,0.003105, 
0.438947,0.951449,0.005978,,,,0.438947,0.963101,0.002886, 
0.229474,0.962062,0.004666,,,,0.229474,0.987936,0.001992, 
0.020000,0.980514,0.003736,,,,0.020000,0.996332,0.001829, 
